,0
0,"-118.07360700000001,34.095942"
1,"-118.354601,34.133876"
2,"-118.47426200000001,34.186646"
3,"-118.317558,34.185561"
4,"-118.75460600000001,34.029990999999995"
5,"-118.32524699999999,34.104667"
6,"-118.248778,33.87397"
7,"-118.337797,34.199014"
8,"-118.44358500000001,34.266993"
9,"-117.89224399999999,34.170506"
10,"-118.207081,33.807834"
11,"-118.337926,34.199165"
12,"-118.20751000000001,33.804439"
13,"-118.325216,34.105208000000005"
14,"-118.650287,34.540667"
15,"-117.826849,34.006657000000004"
16,"-118.61931299999999,34.489611"
17,"-117.736374,34.120255"
18,"-118.627457,34.502539"
19,"-118.578869,34.414881"
20,"-118.240004,34.218868"
21,"-118.224732,34.164316"
22,"-118.038459,34.037296999999995"
23,"-118.28768000000001,33.809142"
24,"-118.68796699999999,34.569603"
25,"-118.20665100000001,33.824277"
26,"-117.84496000000001,34.000665000000005"
27,"-118.21521499999999,34.060539"
28,"-118.269424,34.072992"
29,"-118.290254,33.810186"
30,"-118.17021899999999,34.033353000000005"
31,"-118.17503,34.043287"
32,"-118.275429,33.875473"
33,"-118.2374,33.953268"
34,"-118.23382600000001,34.053796999999996"
35,"-118.227297,34.144921000000004"
36,"-118.72696,34.630789"
37,"-118.351776,33.98887"
38,"-118.490649,34.012578000000005"
39,"-118.502123,34.278183"
40,"-118.05283999999999,34.018006"
41,"-118.288577,33.84033"
42,"-118.248799,34.223025"
43,"-118.33216999999999,33.925021"
44,"-118.15468600000001,34.645722"
45,"-117.915967,33.816342"
46,"-117.47119199999999,34.077467"
47,"-117.557528,33.915754"
48,"-117.75718400000001,33.677582"
49,"-117.291595,33.82989"
50,"-117.461471,34.165127000000005"
51,"-117.79585700000001,33.854114"
52,"-117.953484,33.650566999999995"
53,"-117.10653799999999,34.205411"
54,"-117.717359,33.859685999999996"
55,"-117.837228,33.742133"
56,"-116.885549,34.262440999999995"
57,"-117.912208,33.812717"
58,"-117.673837,33.469569"
59,"-117.542432,33.923258000000004"
60,"-117.702206,33.871320000000004"
61,"-117.15162099999999,33.793975"
62,"-117.842551,33.745653000000004"
63,"-117.436039,34.067261"
64,"-117.545239,34.068114"
65,"-117.87983600000001,33.791546000000004"
66,"-118.01933500000001,33.756658"
67,"-117.488358,34.142897"
68,"-117.651026,34.087446"
69,"-117.82651000000001,33.738319"
70,"-117.445167,34.066787"
71,"-117.66280900000001,33.49179"
72,"-117.665006,33.872534"
73,"-117.40597,33.733055"
74,"-118.4835,34.016566"
75,"-118.16843100000001,34.047251"
76,"-117.286653,34.063562"
77,"-118.77971699999999,34.706575"
78,"-117.456795,33.9064"
79,"-117.32048300000001,34.145603"
80,"-118.46671599999999,34.072806"
81,"-118.17246100000001,34.007661"
82,"-118.17261,34.024019"
83,"-118.051409,33.951512"
84,"-118.206329,34.093651"
85,"-118.45223899999999,34.055739"
86,"-118.28080800000001,33.782752"
87,"-118.150117,34.035189"
88,"-117.754149,34.028098"
89,"-117.75353700000001,34.026247"
90,"-117.839455,34.068869"
91,"-118.19828500000001,34.491481"
92,"-118.24883200000001,34.102090000000004"
93,"-118.384974,34.775467"
94,"-118.105066,33.902075"
95,"-118.10396999999999,33.924683"
96,"-118.252587,34.059258"
97,"-118.28070500000001,33.985106"
98,"-118.216798,34.068360999999996"
99,"-118.218579,33.825153"
100,"-117.96013700000002,34.005497999999996"
101,"-118.412351,34.235109"
102,"-118.28099099999999,33.974651"
103,"-118.244025,34.095535999999996"
104,"-118.12298799999999,34.071467"
105,"-118.19306100000001,33.892456"
106,"-118.266682,34.047885"
107,"-118.07340500000001,33.912225"
108,"-118.17388700000001,34.018906"
109,"-118.228404,33.825417"
110,"-118.125184,33.876092"
111,"-118.395326,34.179484"
112,"-118.343818,33.887322999999995"
113,"-118.28399099999999,34.036997"
114,"-117.826885,34.6165"
115,"-118.223969,34.081996999999994"
116,"-118.195043,34.102931"
117,"-118.17678000000001,34.047081"
118,"-117.998176,34.077659000000004"
119,"-118.228774,34.028484999999996"
120,"-118.417106,34.03171"
121,"-118.418599,34.031895"
122,"-118.237831,34.054248"
123,"-118.247727,33.987029"
124,"-118.55502800000001,34.362460999999996"
125,"-118.125354,33.802636"
126,"-117.926685,34.072421999999996"
127,"-118.292133,34.168785"
128,"-118.368526,33.930194"
129,"-118.15085400000001,33.806905"
130,"-117.931031,33.996831"
131,"-118.47023300000001,34.293601"
132,"-118.167654,34.269692"
133,"-118.820811,34.154596000000005"
134,"-118.370304,33.902351"
135,"-117.93118,33.997066"
136,"-118.16464599999999,33.967773"
137,"-117.83949399999999,34.0687"
138,"-118.26861799999999,34.035394000000004"
139,"-118.280919,34.003772999999995"
140,"-118.00032900000001,34.330675"
141,"-118.28480900000001,33.856840000000005"
142,"-118.299226,33.858315999999995"
143,"-118.330256,34.15275"
144,"-118.370099,33.96379"
145,"-117.920827,34.112885999999996"
146,"-117.926699,34.072231"
147,"-118.14253799999999,33.805642"
148,"-118.28040700000001,33.982369"
149,"-118.16766499999999,33.813428"
150,"-118.47295700000001,34.233558"
151,"-118.082241,33.876536"
152,"-118.23533,33.759465999999996"
153,"-118.518511,34.171243"
154,"-118.535977,34.17333"
155,"-117.809317,34.077508"
156,"-118.514649,34.338037"
157,"-118.21373100000001,33.766481"
158,"-118.06013700000001,33.87325"
159,"-118.274639,34.027524"
160,"-118.3703,33.90175"
161,"-118.104619,33.794614"
162,"-118.28107299999999,33.928931"
163,"-118.09935800000001,33.790411"
164,"-117.90758799999999,34.120675"
165,"-118.179875,34.044185"
166,"-118.10779199999999,33.796703"
