,0
0,"34.095942,-118.07360700000001"
1,"34.133876,-118.354601"
2,"34.186646,-118.47426200000001"
3,"34.185561,-118.317558"
4,"34.029990999999995,-118.75460600000001"
5,"34.104667,-118.32524699999999"
6,"33.87397,-118.248778"
7,"34.199014,-118.337797"
8,"34.266993,-118.44358500000001"
9,"34.170506,-117.89224399999999"
10,"33.807834,-118.207081"
11,"34.199165,-118.337926"
12,"33.804439,-118.20751000000001"
13,"34.105208000000005,-118.325216"
14,"34.540667,-118.650287"
15,"34.006657000000004,-117.826849"
16,"34.489611,-118.61931299999999"
17,"34.120255,-117.736374"
18,"34.502539,-118.627457"
19,"34.414881,-118.578869"
20,"34.218868,-118.240004"
21,"34.164316,-118.224732"
22,"34.037296999999995,-118.038459"
23,"33.809142,-118.28768000000001"
24,"34.569603,-118.68796699999999"
25,"33.824277,-118.20665100000001"
26,"34.000665000000005,-117.84496000000001"
27,"34.060539,-118.21521499999999"
28,"34.072992,-118.269424"
29,"33.810186,-118.290254"
30,"34.033353000000005,-118.17021899999999"
31,"34.043287,-118.17503"
32,"33.875473,-118.275429"
33,"33.953268,-118.2374"
34,"34.053796999999996,-118.23382600000001"
35,"34.144921000000004,-118.227297"
36,"34.630789,-118.72696"
37,"33.98887,-118.351776"
38,"34.012578000000005,-118.490649"
39,"34.278183,-118.502123"
40,"34.018006,-118.05283999999999"
41,"33.84033,-118.288577"
42,"34.223025,-118.248799"
43,"33.925021,-118.33216999999999"
44,"34.645722,-118.15468600000001"
45,"33.816342,-117.915967"
46,"34.077467,-117.47119199999999"
47,"33.915754,-117.557528"
48,"33.677582,-117.75718400000001"
49,"33.82989,-117.291595"
50,"34.165127000000005,-117.461471"
51,"33.854114,-117.79585700000001"
52,"33.650566999999995,-117.953484"
53,"34.205411,-117.10653799999999"
54,"33.859685999999996,-117.717359"
55,"33.742133,-117.837228"
56,"34.262440999999995,-116.885549"
57,"33.812717,-117.912208"
58,"33.469569,-117.673837"
59,"33.923258000000004,-117.542432"
60,"33.871320000000004,-117.702206"
61,"33.793975,-117.15162099999999"
62,"33.745653000000004,-117.842551"
63,"34.067261,-117.436039"
64,"34.068114,-117.545239"
65,"33.791546000000004,-117.87983600000001"
66,"33.756658,-118.01933500000001"
67,"34.142897,-117.488358"
68,"34.087446,-117.651026"
69,"33.738319,-117.82651000000001"
70,"34.066787,-117.445167"
71,"33.49179,-117.66280900000001"
72,"33.872534,-117.665006"
73,"33.733055,-117.40597"
74,"34.016566,-118.4835"
75,"34.047251,-118.16843100000001"
76,"34.063562,-117.286653"
77,"34.706575,-118.77971699999999"
78,"33.9064,-117.456795"
79,"34.145603,-117.32048300000001"
80,"34.072806,-118.46671599999999"
81,"34.007661,-118.17246100000001"
82,"34.024019,-118.17261"
83,"33.951512,-118.051409"
84,"34.093651,-118.206329"
85,"34.055739,-118.45223899999999"
86,"33.782752,-118.28080800000001"
87,"34.035189,-118.150117"
88,"34.028098,-117.754149"
89,"34.026247,-117.75353700000001"
90,"34.068869,-117.839455"
91,"34.491481,-118.19828500000001"
92,"34.102090000000004,-118.24883200000001"
93,"34.775467,-118.384974"
94,"33.902075,-118.105066"
95,"33.924683,-118.10396999999999"
96,"34.059258,-118.252587"
97,"33.985106,-118.28070500000001"
98,"34.068360999999996,-118.216798"
99,"33.825153,-118.218579"
